Entity,Code,Year,Coal - % electricity,Gas - % electricity,Hydro - % electricity,Solar - % electricity,Wind - % electricity,Oil - % electricity,Nuclear - % electricity,Other renewables excluding bioenergy - % electricity,Bioenergy - % electricity
Spain,ESP,1985,43.144882,1.986379,24.720701,0,0,6.1211133,22.15832,,
Spain,ESP,1986,42.63998,1.6477792,20.612022,0,0,4.8134136,29.141886,,
Spain,ESP,1987,41.249622,1.1276486,20.64064,0,0,4.8513007,31.10908,,
Spain,ESP,1988,31.040136,0.98371965,25.400866,0,0,4.9993134,36.36952,,
Spain,ESP,1989,40.544147,0.9506678,13.157705,0.0041213324,0.008840259,6.2140217,38.166798,,
Spain,ESP,1990,39.521038,0.9989415,16.849695,0.0066155065,0.0066155065,6.3575015,35.902355,0,0.35723737
Spain,ESP,1991,38.00659,0.879064,17.6136,0.006463706,0.006463706,7.2134957,35.925278,0,0.34904015
Spain,ESP,1992,40.995853,1.0916055,12.077881,0.006383658,0.06383658,9.792532,35.608044,0,0.3638685
Spain,ESP,1993,40.239815,0.7735947,15.742651,0.006446622,0.07735947,6.6464677,36.139767,0,0.37390408
Spain,ESP,1994,38.435608,2.022598,17.629065,0.0062425868,0.10612398,6.8730884,34.52775,0,0.39952555
Spain,ESP,1995,39.928516,2.2717633,13.981946,0.012116071,0.16356698,9.432362,33.597866,0,0.6118616
Spain,ESP,1996,31.141388,3.9200969,22.972115,0.011546677,0.20784019,8.602274,32.521217,0,0.62352055
Spain,ESP,1997,33.135937,9.607148,18.373606,0.010574737,0.39126527,8.470365,29.239147,0,0.7719558
Spain,ESP,1998,31.842392,8.382026,17.575884,0.010341796,0.69807124,10.197011,30.50313,0,0.7911474
Spain,ESP,1999,35.797306,9.269075,11.097602,0.014589311,1.3324903,13.081748,28.619364,0,0.7878228
Spain,ESP,2000,35.80029,9.134528,12.791961,0.0045265253,2.1410465,11.293681,28.159515,0,0.6744523
Spain,ESP,2001,30.149738,10.02274,17.544085,0.008581112,2.9004161,11.339941,27.335135,0,0.69936067
Spain,ESP,2002,33.83769,13.5008955,8.844983,0.008336459,3.8931265,12.567212,26.268183,0,1.0795715
Spain,ESP,2003,29.04392,15.301205,15.732609,0.0077730278,4.6910224,9.937816,24.04975,0,1.2359115
Spain,ESP,2004,28.59622,20.04989,11.236037,0.007230397,5.6758614,10.234627,22.996277,0,1.2038611
Spain,ESP,2005,27.312927,27.295656,6.3532095,0.017273545,7.3170733,10.90997,19.878395,0,0.9154979
Spain,ESP,2006,22.578571,30.640415,8.782434,0.040596772,7.8825397,8.795967,20.342367,0,0.9371088
Spain,ESP,2007,24.117142,31.40529,9.04724,0.17226529,9.133373,6.9104886,18.253496,0,0.96071035
Spain,ESP,2008,15.723554,38.994156,7.540592,0.8328222,10.636237,6.1848345,19.035475,0,1.0523257
Spain,ESP,2009,12.352091,37.063152,9.084342,2.0844798,13.112272,6.9551454,18.148046,0,1.2004678
Spain,ESP,2010,8.505709,31.850235,14.2041645,2.4143722,14.865683,5.997314,20.815985,0,1.3465414
Spain,ESP,2011,15.085408,29.330452,10.495987,3.2242572,14.721821,5.762502,19.798313,0,1.5812582
Spain,ESP,2012,18.734478,24.939613,6.9909844,4.072121,16.829393,5.8275213,20.911718,0,1.6941656
Spain,ESP,2013,14.190293,20.443403,13.099552,4.654303,19.76835,5.627798,20.155617,0,2.0606837
Spain,ESP,2014,15.963417,17.224165,14.2727,4.9810524,18.951319,5.7535343,20.882524,0,1.9712869
Spain,ESP,2015,18.53375,18.941442,10.152614,5.0005407,17.794132,6.8622146,20.637154,0,2.078147
Spain,ESP,2016,13.457702,19.51607,13.44662,5.0387883,18.064278,6.7159214,21.658663,0,2.1019578
Spain,ESP,2017,16.568764,23.51127,6.7258973,5.2867317,18.0373,6.3293924,21.308466,0,2.2321756
Spain,ESP,2018,13.75829,21.37067,12.649227,4.6941786,18.750921,6.050111,20.549006,0,2.1775975
Spain,ESP,2019,4.7538075,30.944109,9.112081,5.581843,20.571493,5.4007096,21.56957,0.0073931688,2.0589976
Spain,ESP,2020,2.1274135,26.877865,11.758585,7.966239,21.752033,4.67106,22.468878,0.01156203,2.366362
Spain,ESP,2021,1.7950139,26.408125,10.943675,10.009233,22.921515,4.4616804,20.890121,0.007386888,2.5632503
Spain,ESP,2022,2.7372456,29.98433,6.1257186,12.439492,21.863138,4.071043,20.40397,0.0069650006,2.3681004
Spain,ESP,2023,1.2935963,22.998857,8.933677,17.363493,23.231133,3.744997,20.322327,0.0035734705,2.1083477
Spain,ESP,2024,0.94511217,18.684689,11.6373625,20.89946,22.443739,3.6092584,19.551338,0,2.229038
