spec,algorithm,treatment,coef,se,t,n_obs
T1_col1_baseline,lasso,ecost2,1.2604739141348034,0.08367606951383232,15.063732336596392,16186
T1_col1_baseline,rf,ecost2,1.2583609704603984,0.2886765711976243,4.35906857712724,16186
T1_col1_baseline,gboost,ecost2,2.7996065408268485,0.8094009864154458,3.4588622794065618,16186
T1_col2_month_temp,lasso,ecost2,1.3691437178433004,0.08579216854165961,15.958842643993329,16186
T1_col2_month_temp,rf,ecost2,1.1784075151976316,0.3579889599903239,3.2917426147149427,16186
T1_col2_month_temp,gboost,ecost2,2.4025281911196252,0.6387178335986221,3.761486003269172,16186
T1_col3_month_hourFE,lasso,ecost2,1.3288072084567821,0.08451465585972417,15.7228020979262,16186
T1_col3_month_hourFE,rf,ecost2,1.9368643043306448,0.14527393428975832,13.332497077331457,16186
T1_col3_month_hourFE,gboost,ecost2,2.525667258427391,0.6910009525477567,3.655085060469343,16186
T1_col4_both,lasso,ecost2,1.3871552875530613,0.08550476234270593,16.223134823687325,16186
T1_col4_both,rf,ecost2,2.0326960947417323,0.2095932129773403,9.698291590011994,16186
T1_col4_both,gboost,ecost2,1.9396336248362456,0.5398623457315588,3.592829987444076,16186
T1_col5_hour_input,lasso,ecost2,1.3740682945698397,0.08231810798266062,16.692175369959568,16186
T1_col5_hour_input,rf,ecost2,1.7381991690105936,0.2218742328002972,7.834164188750562,16186
T1_col5_hour_input,gboost,ecost2,2.2488425058025703,0.5585054623229065,4.026536278533969,16186
T2_col5_peak_offpeak_full,lasso,ecost2_peak,0.42533284442386227,0.0361270237358805,11.773260026439207,16186
T2_col5_peak_offpeak_full,lasso,ecost2_off,-0.12408656870403578,0.03918669234410978,-3.16654867459584,16186
T2_col5_peak_offpeak_full,rf,ecost2_peak,1.1612056545094016,0.11900926300909191,9.757271200147583,16186
T2_col5_peak_offpeak_full,rf,ecost2_off,-0.09129440650644606,0.08052575972860433,-1.1337292167641169,16186
T2_col5_peak_offpeak_full,gboost,ecost2_peak,1.9612889121489456,0.4538047659925229,4.32187817124261,16186
T2_col5_peak_offpeak_full,gboost,ecost2_off,1.3487459657586476,0.4154563076075747,3.2464207211715395,16186
A2_additional_quadratic_inputs,lasso,ecost2,1.528701292571597,0.09265673758389026,16.498544330762023,16186
A2_additional_quadratic_inputs,rf,ecost2,1.2323254082040032,0.22800707438855158,5.4047683016359915,16186
A2_additional_quadratic_inputs,gboost,ecost2,2.0589884459281165,0.4912657841342919,4.19119041550281,16186
A2_additional_temp_sq,lasso,ecost2,1.507532733461214,0.09143842310373429,16.486862768302128,16186
A2_additional_temp_sq,rf,ecost2,1.3252585629279292,0.24732769972164584,5.3583103082244214,16186
A2_additional_temp_sq,gboost,ecost2,1.9396612063638259,0.46240358750483235,4.1947365002732715,16186
A2_additional_wind_trend,lasso,ecost2,1.6359935946996529,0.0975212229626525,16.775769878585155,16186
A2_additional_wind_trend,rf,ecost2,1.2889122427711506,0.24309251735182383,5.302146922546895,16186
A2_additional_wind_trend,gboost,ecost2,2.1314060289852996,0.48055163926722716,4.435331928604781,16186
A3_emissions_assumption_ecost_int,lasso,ecost_int,1.7790330078713632,0.10932680660599896,16.2726147694297,18744
A3_emissions_assumption_ecost_int,rf,ecost_int,1.7386928323059219,0.2166547571955308,8.02517726733668,18744
A3_emissions_assumption_ecost_int,gboost,ecost_int,2.3712608923020886,0.4329557317320731,5.476913038697224,18744
A3_emissions_assumption_ecost2,lasso,ecost2,1.3604940427481462,0.08162034455839139,16.668565295933607,16186
A3_emissions_assumption_ecost2,rf,ecost2,1.6947383166767014,0.22219163609562145,7.627372238023221,16186
A3_emissions_assumption_ecost2,gboost,ecost2,2.263179719180098,0.562288223081084,4.024945973043685,16186
A3_emissions_assumption_ecost,lasso,ecost,1.1715538073427851,0.06996018650562158,16.74600749168452,14928
A3_emissions_assumption_ecost,rf,ecost,1.7108531002889886,0.22483989815232816,7.609205992122859,14928
A3_emissions_assumption_ecost,gboost,ecost,1.326892804005338,0.32252321397695166,4.11410015311382,14928
RD_included_full,lasso,ecost2,0.6102907977171197,0.030972254489934993,19.704435720539653,26050
RD_included_full,rf,ecost2,1.906073209898919,0.10058420974202742,18.950024211429465,26050
RD_included_full,gboost,ecost2,2.2469391346842884,0.20323662547972524,11.055778599849079,26050
Trends_ym_preRD_peakoff,lasso,ecost2_peak,0.43336969798079505,0.036465464870467784,11.884387036342634,16186
Trends_ym_preRD_peakoff,lasso,ecost2_off,-0.12428542529481233,0.040057051146537,-3.102710302866541,16186
Trends_ym_preRD_peakoff,rf,ecost2_peak,1.1337571572028111,0.10828523557056682,10.470099189690265,16186
Trends_ym_preRD_peakoff,rf,ecost2_off,-0.5923716247908969,0.08243803551884585,-7.185659156755101,16186
Trends_ym_preRD_peakoff,gboost,ecost2_peak,1.9227949299073217,0.38389617874512527,5.008632636543891,16186
Trends_ym_preRD_peakoff,gboost,ecost2_off,1.5176929675966344,0.4567903490234215,3.322515396486225,16186
Trends_ym_withRD_peakoff,lasso,ecost2_peak,0.5739828453660937,0.03115352537830116,18.424330421554163,26050
Trends_ym_withRD_peakoff,lasso,ecost2_off,-0.36694843645851843,0.03735921430385643,-9.822166854848442,26050
Trends_ym_withRD_peakoff,rf,ecost2_peak,0.6525169330502947,0.04207396229161324,15.508806337937022,26050
Trends_ym_withRD_peakoff,rf,ecost2_off,0.45039678565299507,0.040790650891256185,11.041667044090767,26050
Trends_ym_withRD_peakoff,gboost,ecost2_peak,2.0804576754563775,0.19527897051134713,10.653772241878384,26050
Trends_ym_withRD_peakoff,gboost,ecost2_off,1.7728081603644295,0.17186405388057022,10.315177143420398,26050
Trends_yb_preRD_peakoff,lasso,ecost2_peak,0.5490048403684398,0.04267847071657866,12.863742096437775,16186
Trends_yb_preRD_peakoff,lasso,ecost2_off,-0.16010421525939725,0.041387794936101535,-3.868392010412286,16186
Trends_yb_preRD_peakoff,rf,ecost2_peak,1.2516717058606406,0.1146597268898844,10.916402295835805,16186
Trends_yb_preRD_peakoff,rf,ecost2_off,-0.9509398337710044,0.09506196499308066,-10.003368159286643,16186
Trends_yb_preRD_peakoff,gboost,ecost2_peak,1.7715899010044243,0.4090185332477216,4.331319382859023,16186
Trends_yb_preRD_peakoff,gboost,ecost2_off,1.589620639724523,0.5295771777298098,3.0016788988885525,16186
Trends_yb_withRD_peakoff,lasso,ecost2_peak,0.5615836300371816,0.025923937621293112,21.662744226629922,26050
Trends_yb_withRD_peakoff,lasso,ecost2_off,-0.32435529862703577,0.04307480813318348,-7.530046277261596,26050
Trends_yb_withRD_peakoff,rf,ecost2_peak,0.7098897224489482,0.05585431358144321,12.709666934028867,26050
Trends_yb_withRD_peakoff,rf,ecost2_off,0.02133015398731588,0.05817802508452152,0.366635924068018,26050
Trends_yb_withRD_peakoff,gboost,ecost2_peak,1.833949023308323,0.20484983839953375,8.95265057388738,26050
Trends_yb_withRD_peakoff,gboost,ecost2_off,1.455995085668911,0.20259212999693327,7.186829447377601,26050
Trends_yq_preRD_peakoff,lasso,ecost2_peak,0.8764011215785785,0.09564257640190986,9.163294785114948,16186
Trends_yq_preRD_peakoff,lasso,ecost2_off,-0.049289647815002925,0.03300931372587241,-1.4932042581779013,16186
Trends_yq_preRD_peakoff,rf,ecost2_peak,1.3692230797221736,0.12874681486811515,10.635005464987772,16186
Trends_yq_preRD_peakoff,rf,ecost2_off,-1.0424848447455792,0.10934982831968203,-9.533484055392348,16186
Trends_yq_preRD_peakoff,gboost,ecost2_peak,1.9088969915402403,0.4390969742034124,4.347324403688422,16186
Trends_yq_preRD_peakoff,gboost,ecost2_off,0.9524202230269666,0.3908453624305944,2.4368210923728064,16186
Trends_yq_withRD_peakoff,lasso,ecost2_peak,0.6429644070384019,0.030533509872501016,21.057664504448805,26050
Trends_yq_withRD_peakoff,lasso,ecost2_off,0.001371235849263593,0.029383848703597656,0.0466663119285563,26050
Trends_yq_withRD_peakoff,rf,ecost2_peak,0.7354852130711999,0.05853819812707715,12.564192896313243,26050
Trends_yq_withRD_peakoff,rf,ecost2_off,0.027062492192950153,0.06413728433711828,0.4219463370276847,26050
Trends_yq_withRD_peakoff,gboost,ecost2_peak,2.151407095565427,0.25999246077010263,8.27488262233804,26050
Trends_yq_withRD_peakoff,gboost,ecost2_off,1.7410710337204727,0.24930057484729473,6.983822780139754,26050
