col,algorithm,rho,se,var_D_tilde,var_Z_tilde,corr_DZ_tilde,F_resid_first_stage,n_obs,W_dim,gap_days,n_folds
1,gboost,0.7572520599676589,0.023394746834172843,48.78411407533673,51.41871006475425,0.48582197095944374,3836.3742088571335,16186,62,1,5
1,lasso,0.8186974104163922,0.021545066708283933,41.40955188548705,70.67270956061815,0.6124828030797539,6427.745086099807,16186,62,1,5
1,rf,1.4561295921103403,0.0341524030616054,30.393421539215755,56.261093557050316,0.5048607175595947,3529.494681265309,16186,62,1,5
1,ridge,2.7545645718609975,0.02523830390732673,76.40447145346735,103.15089452174415,0.8111167611333887,22628.308352573527,16186,62,1,5
2,gboost,0.4533789458830208,0.022276405142396687,46.16296486177669,35.35589141873983,0.28656682037646075,1043.5976077410535,16186,84,1,5
2,lasso,1.47143601139297,0.03145111445659389,27.074890550622634,40.81225610035414,0.14098772558935907,228.90592672974154,16186,84,1,5
2,rf,1.4707037533873077,0.03199397185807554,30.94238798714224,57.553232150377774,0.5032255032002775,3575.0777788800183,16186,84,1,5
2,ridge,1.6231405174947402,0.019254995844434873,81.35699088689242,127.14564784253903,0.7779920259160442,22337.025206796596,16186,84,1,5
3,gboost,0.7507865248196443,0.02331769266068399,48.78411407533673,51.65411333638684,0.4853215028985699,3820.8766321383428,16186,326,1,5
3,lasso,0.7895845787278954,0.02140854718099102,41.41530438975817,71.59079216725603,0.6109465242400752,6431.952926004592,16186,326,1,5
3,rf,1.7038761279049324,0.02819817144912386,38.74455079415571,76.15391064039181,0.7126872202417722,9827.519443282004,16186,326,1,5
3,ridge,2.6078025952817403,0.020893036175998084,104.02736076487874,128.39489445357884,0.8678392129961834,36755.4848231927,16186,326,1,5
4,gboost,0.452262299627304,0.022226396467640908,46.16296486177669,35.45467787031939,0.28689097491321197,1046.816209612667,16186,348,1,5
4,lasso,1.4617855628829486,0.03101062656037832,27.07489792421007,41.576036415113016,0.14156193174355483,232.79265598685177,16186,348,1,5
4,rf,1.70786151626086,0.02578923450346833,42.50602073670712,79.12460928209734,0.7343565293387161,11571.522086999332,16186,348,1,5
4,ridge,2.373152918669718,0.02129734270154146,102.9943274047347,133.147318733094,0.8470141819137306,35153.67907265609,16186,348,1,5
5,gboost,0.4528616960552297,0.022441937921660972,46.16296486177669,35.91352424688403,0.2787155095383451,976.8771188768171,16186,417,1,5
5,lasso,1.455872071322282,0.030487268121434596,27.07489792421007,41.085308535121676,0.1410763317767586,229.7437607448661,16186,417,1,5
5,rf,1.6953127630895861,0.02793906751940782,35.267781732350436,65.66701839760357,0.6224040060187297,6609.903954623411,16186,417,1,5
5,ridge,2.3583420252481457,0.01996043006927729,102.02043362861588,134.49867692592642,0.8497707100109273,35649.43517464562,16186,417,1,5
