algorithm,col,rho,se,f,month_temp,month_hour_fe,hour_input
gboost,1,2.7996065408268485,0.8094009864154458,124.84856930600658,False,False,False
gboost,2,2.422152958875178,0.5925211214709748,114.0294006547586,True,False,False
gboost,3,2.525667258427391,0.6910009525477567,129.87319331375556,False,True,False
gboost,4,2.1537130245598433,0.5450572643648398,119.26052331159288,True,True,False
gboost,5,2.2583708502368167,0.5249130795699655,118.27074490566373,True,True,True
lasso,1,1.2604739141348034,0.08367606951383232,124.84856930600658,False,False,False
lasso,2,1.3786189976561687,0.08609342488550752,114.0294006547586,True,False,False
lasso,3,1.3288072084567821,0.08451465585972417,129.87319331375556,False,True,False
lasso,4,1.39983617739055,0.08602903891628783,119.26052331159288,True,True,False
lasso,5,1.3767688257696626,0.08252860815519024,118.27074490566373,True,True,True
rf,1,1.1549763593546352,0.30970092237698416,124.84856930600658,False,False,False
rf,2,0.6121323131463235,0.29919702491714634,114.0294006547586,True,False,False
rf,3,1.847331121812609,0.15391297789873096,129.87319331375556,False,True,False
rf,4,1.412100158711391,0.18196941316048743,119.26052331159288,True,True,False
rf,5,1.1574778116406415,0.18355958995918756,118.27074490566373,True,True,True
